ID,Scenario,Environment,Number,Stability,Efficiency,Truth-telling Rate
4325,nursery,EADA,5v5,0.25,0.75,0.8499999999999994
4331,nursery,Boston,5v5,1.0,1.0,1.0
4332,nursery,Boston,5v5,0.99,1.0,0.7599999999999993
4333,nursery,Boston,5v5,0.0,0.82,0.7659999999999989
4334,nursery,Boston,5v5,0.93,0.97,0.4519999999999998
4335,nursery,Boston,5v5,0.01,0.82,0.5540000000000006
4341,nursery,RSD,5v5,1.0,1.0,1.0
4342,nursery,RSD,5v5,0.35,1.0,1.0
4343,nursery,RSD,5v5,0.0,1.0,1.0
4344,nursery,RSD,5v5,0.09,1.0,1.0
4345,nursery,RSD,5v5,0.0,1.0,0.998
4351,nursery,TTC,5v5,0.99,0.99,0.998
4352,nursery,TTC,5v5,1.0,1.0,0.8659999999999991
4353,nursery,TTC,5v5,0.0,0.94,0.9299999999999994
4354,nursery,TTC,5v5,0.05,0.98,0.7699999999999996
4355,nursery,TTC,5v5,0.0,0.96,0.7979999999999993
6111,job,free_passive,5v5,0.25,0.25,0.0
6112,job,free_passive,5v5,0.43,0.35,0.0
6113,job,free_passive,5v5,0.1,0.33,0.0
6114,job,free_passive,5v5,0.08,0.1,0.0
6115,job,free_passive,5v5,0.13,0.05,0.0
6121,job,free_active,5v5,0.99,0.99,0.0
6122,job,free_active,5v5,1.0,1.0,0.0
6123,job,free_active,5v5,0.01,0.46,0.0
6124,job,free_active,5v5,0.07,0.19,0.0
6125,job,free_active,5v5,0.23,0.06,0.0
6211,school,free_passive,5v5,0.16,0.16,0.0
6212,school,free_passive,5v5,0.51,0.37,0.0
6213,school,free_passive,5v5,0.06,0.28,0.0
6214,school,free_passive,5v5,0.15,0.13,0.0
6215,school,free_passive,5v5,0.23,0.0,0.0
6221,school,free_active,5v5,0.65,0.65,0.0
6222,school,free_active,5v5,0.71,0.66,0.0
6223,school,free_active,5v5,0.01,0.18,0.0
6224,school,free_active,5v5,0.23,0.33,0.0
6225,school,free_active,5v5,0.2,0.05,0.0
6311,nursery,free_passive,5v5,0.3,0.3,0.0
6312,nursery,free_passive,5v5,0.6,0.39,0.0
6313,nursery,free_passive,5v5,0.14,0.22,0.0
6314,nursery,free_passive,5v5,0.19,0.11,0.0
6315,nursery,free_passive,5v5,0.3,0.02,0.0
6321,nursery,free_active,5v5,0.9,0.9,0.0
6322,nursery,free_active,5v5,0.96,0.94,0.0
6323,nursery,free_active,5v5,0.05,0.22,0.0
6324,nursery,free_active,5v5,0.16,0.26,0.0
6325,nursery,free_active,5v5,0.23,0.12,0.0
